_time,_value,_field,location,date
2023-07-27 10:30:44+00:00,522.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 10:40:44+00:00,525.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 10:50:45+00:00,527.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 11:00:45+00:00,527.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 11:10:45+00:00,518.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 11:20:45+00:00,522.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 11:30:45+00:00,499.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 11:40:45+00:00,486.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 11:50:45+00:00,483.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 12:00:45+00:00,504.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 12:10:45+00:00,507.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 12:20:45+00:00,518.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 12:30:45+00:00,523.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 12:40:45+00:00,500.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 12:50:45+00:00,503.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 13:00:45+00:00,493.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 13:10:45+00:00,476.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 13:20:45+00:00,460.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 13:30:45+00:00,452.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 13:50:45+00:00,444.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 14:00:45+00:00,437.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 14:10:45+00:00,433.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 14:20:45+00:00,436.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 14:30:45+00:00,440.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 14:40:45+00:00,436.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 14:50:45+00:00,436.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 15:00:45+00:00,440.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 15:10:45+00:00,441.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 15:20:45+00:00,450.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 15:30:45+00:00,459.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 15:40:45+00:00,456.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 15:50:45+00:00,459.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 16:00:45+00:00,462.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 16:10:45+00:00,443.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 16:20:45+00:00,440.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 16:30:45+00:00,442.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 16:40:45+00:00,452.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 16:50:45+00:00,456.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 17:00:45+00:00,456.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 17:10:45+00:00,460.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 17:20:45+00:00,461.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 17:30:45+00:00,468.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 17:40:45+00:00,472.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 17:50:45+00:00,473.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 18:00:45+00:00,472.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 18:10:45+00:00,474.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 18:20:45+00:00,483.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 18:30:45+00:00,487.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 18:40:45+00:00,493.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 19:00:45+00:00,490.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 19:10:45+00:00,495.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 19:20:45+00:00,511.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 19:30:45+00:00,517.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 19:40:45+00:00,513.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 19:50:45+00:00,506.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 20:00:45+00:00,501.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 20:10:45+00:00,491.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 20:20:45+00:00,487.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 20:30:45+00:00,484.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 20:40:45+00:00,473.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 20:50:45+00:00,472.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 21:00:45+00:00,466.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 21:10:45+00:00,466.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 21:20:45+00:00,460.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 21:30:45+00:00,454.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 21:40:45+00:00,452.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 21:50:45+00:00,447.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 22:00:45+00:00,452.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 22:10:45+00:00,443.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 22:20:45+00:00,450.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 22:30:45+00:00,449.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 22:40:45+00:00,439.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 22:50:45+00:00,446.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 23:00:45+00:00,435.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 23:20:45+00:00,449.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 23:30:45+00:00,445.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 23:40:45+00:00,444.0,co2,am3019-testqc2090,2023-07-27
